mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
TCONS_00009564	1767	1083	1.0337	0.117319266209	0.999462101764765
TCONS_00009565	2344	1569	1.0578	0.173579721951	0.999998138129037
TCONS_00009566	2342	1566	1.0578	0.1730877357	0.999998070726031
TCONS_00009567	2294	1518	1.0632	0.1650691497	0.999996649315562
TCONS_00009568	128	42	1.078	-0.0663724619259	0.00899747278694364
TCONS_00009569	2066	1566	1.0578	0.1730877357	0.999998102787951
TCONS_00009570	2069	1569	1.0578	0.173579721951	0.999998168959638
TCONS_00009571	660	84	0.9167	-0.102550103292	0.00652451623196078
TCONS_00009573	1147	96	0.5154	-0.277730185562	0.000646716861096798
TCONS_00056342	2771	393	0.8256	0.0543865311383	0.256722538302478
TCONS_00056343	2437	993	1.0965	0.519288434496	0.99991432510819
TCONS_00070774	8797	1020	0.6483	-0.0649565703073	0.982100842117063
TCONS_00070775	8822	1323	0.6158	0.0200043104844	0.999564334608445
TCONS_00108212	3194	585	0.9441	0.322510453726	0.958100644062412
TCONS_00108213	8077	585	0.9441	0.322510453726	0.944443416644029
TCONS_00108214	8109	585	0.9441	0.322510453726	0.944341379613039
TCONS_00108215	6608	585	0.9441	0.322510453726	0.948942186468895
TCONS_00228165	3462	1518	1.0085	0.294292825026	0.999998180143716
TCONS_00228166	3497	642	0.9241	0.232681164335	0.955706740152653
TCONS_00228167	3285	1338	1.1337	0.299100183633	0.999991760043316
TCONS_00228168	2712	492	1.1822	0.38653885968	0.965253258924482
TCONS_00033800	2517	939	0.7768	0.148521010013	0.99514906732923
TCONS_00033801	2524	954	0.7149	0.144929964988	0.994868820462576
TCONS_00107858	2955	810	1.3036	0.558334075658	0.999742277407356
TCONS_00107860	2009	1305	1.2386	0.525685355002	0.999998244589479
TCONS_00107861	3582	810	1.3036	0.558334075658	0.999732279291051
TCONS_00107862	2850	810	1.3036	0.558334075658	0.999743914857879
TCONS_00107863	2352	810	1.3036	0.558334075658	0.999751540520576
TCONS_00107864	1823	1203	1.2602	0.574429674393	0.999996458673088
TCONS_00107865	537	225	0.7082	0.173233551073	0.0888323699704033
TCONS_00107866	499	126	1.1823	0.281288004464	0.23272242448093
TCONS_00107869	853	276	1.2226	0.587213771955	0.927824132445209
TCONS_00107870	888	654	1.1728	0.551088847584	0.99806062313589
TCONS_00107871	809	348	0.821	0.0107036108254	0.150161246576421
TCONS_00107872	904	177	0.94	-0.164950942909	0.0124468622975802
TCONS_00107877	543	177	0.7744	0.0934921164459	0.0404734953417187
TCONS_00107878	217	72	1.2697	0.477580375688	0.45286689276759
TCONS_00145866	649	492	1.29	0.563674496425	0.993020668987784
TCONS_00145867	990	738	1.226	0.439671690181	0.998609862662677
TCONS_00145868	783	531	1.2255	0.572987309535	0.994675773745252
TCONS_00145869	873	621	1.236	0.576028310445	0.998074813235428
TCONS_00145870	676	363	1.273	0.54251639453	0.966700384741868
TCONS_00145871	1392	465	1.2028	0.445662786384	0.972551846901904
TCONS_00173415	2578	702	1.0585	0.432899926469	0.996011456496903
TCONS_00173416	2383	576	0.6504	-0.0664657322593	0.399064003948671
TCONS_00173417	2610	702	1.0585	0.432899926469	0.996003730250368
TCONS_00173418	2455	702	1.0585	0.432899926469	0.996041016007534
TCONS_00173419	2437	702	1.0585	0.432899926469	0.996045323448629
TCONS_00173420	2566	702	1.0585	0.432899926469	0.996014350002105
TCONS_00173421	2588	702	1.0585	0.432899926469	0.996009043644415
TCONS_00173423	1157	564	1.024	0.425907180569	0.981294116142636
TCONS_00173424	914	564	1.024	0.425907180569	0.981563036711792
TCONS_00174183	4787	2091	1.1759	0.609874528863	0.999999999704092
TCONS_00174184	4917	2091	1.1759	0.609874528863	0.999999999701747
TCONS_00174185	1923	390	1.0291	0.375713336683	0.847730608408639
TCONS_00248432	6751	4770	0.8138	0.030054427534	1
TCONS_00248433	6852	4770	0.8138	0.030054427534	1
TCONS_00248434	3957	3849	0.8348	0.0499318986358	1
TCONS_00270441	6297	1920	0.835	0.142566156329	0.999999868468145
TCONS_00270442	6295	1806	0.8608	0.153417626091	0.999999612796188
TCONS_00270443	6298	1809	0.841	0.154883085756	0.999999604862695
